TBEG "ZUORDNUNG_CAN_ID_SG"
HEAD "INDEX", "CAN_ID_DEZ", "CAN_ID_HEX", "CAN_ID_NAME", "DIAG_ID_DEZ", "DIAG_ID_HEX", "SG_NAME"
LINE "305", "959", "0x3BF", "Position window rear window [1]", "36", "0x24", "CTM"
LINE "306", "960", "0x3C0", "Configuration FAS [3]", "109", "0x6D", "SM_FA"
LINE "307", "961", "0x3C1", "Configuration BFS [3]", "110", "0x6E", "SM_BF"
LINE "308", "964", "0x3C4", "Status EDCK CKM [2]", "0", "0x0", "JBBF"
LINE "309", "967", "0x3C7", "Access radio [1]", "99", "0x63", "RAD1"
LINE "310", "968", "0x3C8", "Operation push button radio [1]", "99", "0x63", "RAD1"
LINE "311", "974", "0x3CE", "Radio audio control interface display [1]", "241", "0xF1", "ACI"
LINE "312", "975", "0x3CF", "Acknowledgment access radio audio control interface [1]", "241", "0xF1", "ACI"
LINE "313", "979", "0x3D3", "Status solar sensor [1]", "86", "0x56", "FZD"
LINE "314", "980", "0x3D4", "Configuration of central locking CKM [3]", "96", "0x60", "Kombi"
LINE "315", "982", "0x3D6", "Configuration DWA CKM [1]", "96", "0x60", "Kombi"
LINE "316", "983", "0x3D7", "Status DWA CKM [2]", "86", "0x56", "FZD"
LINE "317", "983", "0x3D7", "Status DWA CKM [2]", "65", "0x41", "DWA"
LINE "318", "984", "0x3D8", "Configuration RLS CKM [3]", "96", "0x60", "Kombi"
LINE "319", "985", "0x3D9", "Status RLS CKM [4]", "86", "0x56", "FZD"
LINE "320", "986", "0x3DA", "Configuration of memory positions CKM [1]", "96", "0x60", "Kombi"
LINE "321", "987", "0x3DB", "Status memory positions CKM [3]", "109", "0x6D", "SM_FA"
LINE "322", "988", "0x3DC", "Configuration light CKM [3]", "96", "0x60", "Kombi"
LINE "323", "989", "0x3DD", "Status light CKM [4]", "114", "0x72", "FRMFA"
LINE "324", "990", "0x3DE", "Configuration Climate CKM [5]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "325", "991", "0x3DF", "Status Klima CKM [6]", "120", "0x78", "IHKA"
LINE "326", "994", "0x3E2", "Configuration of tailgate CKM [1]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "327", "995", "0x3E3", "Status tailgate CKM [1]", "107", "0x6B", "HKL"
LINE "328", "996", "0x3E4", "Configuration rear view camera CKM [2]", "98", "0x62", "CCC_GW"
LINE "329", "997", "0x3E5", "Status rear view camera CKM [2]", "119", "0x77", "RFK"
LINE "330", "1001", "0x3E9", "Marker 1 [1]", "255", "0xFF", "Sender unknown"
LINE "331", "1002", "0x3EA", "Marker 2 [3]", "126", "0x7E", "Diagnosetool_K_CAN_System"
LINE "332", "1003", "0x3EB", "Marker 3 [1]", "125", "0x7D", "Diagnosetool_PT_CAN"
LINE "333", "1007", "0x3EF", "OBD data motor [3]", "18", "0x12", "DME1 / DDE1"
LINE "334", "1008", "0x3F0", "Configuration light extended CKM [1]", "96", "0x60", "Kombi"
LINE "335", "1009", "0x3F1", "Status light extended CKM [1]", "114", "0x72", "FRMFA"
LINE "336", "1016", "0x3F8", "Air conditioning rear control [3]", "120", "0x78", "IHKA"
LINE "337", "1018", "0x3FA", "Status target climate rear [1]", "121", "0x79", "FKA"
LINE "338", "1022", "0x3FE", "Request CAN_Testtool SI-Bus [5]", "126", "0x7E", "Diagnosetool_K_CAN_System"
LINE "339", "1023", "0x3FF", "Transmission data SI bus CAN_Testtool [5]", "255", "0xFF", "Sender unknown"
LINE "340", "1153", "0x481", "Network management", "1", "0x1", "ACSM"
LINE "341", "1153", "0x481", "Network management", "1", "0x1", "ACSM_ROSE"
LINE "342", "1154", "0x482", "Network management", "2", "0x2", "SZL_LWS"
LINE "343", "1170", "0x492", "Network management", "18", "0x12", "DDE1"
LINE "344", "1170", "0x492", "Network management", "18", "0x12", "DME1"
LINE "345", "1174", "0x496", "Network management", "22", "0x16", "AFS"
LINE "346", "1175", "0x497", "Network management", "23", "0x17", "EKP"
LINE "347", "1176", "0x498", "Network management", "24", "0x18", "EGS_EL"
LINE "348", "1177", "0x499", "Network management", "25", "0x19", "VGSG"
LINE "349", "1179", "0x49B", "Network management", "27", "0x1B", "VVT1"
LINE "350", "1180", "0x49C", "Network management", "28", "0x1C", "LDM"
LINE "351", "1182", "0x49E", "Network management", "30", "0x1E", "VVT2"
LINE "352", "1184", "0x4A0", "Network management", "32", "0x20", "RDC"
LINE "353", "1185", "0x4A1", "Network management", "33", "0x21", "ACC_Sensor"
LINE "354", "1187", "0x4A3", "Network management", "35", "0x23", "ARS_Modul"
LINE "355", "1188", "0x4A4", "Network management", "36", "0x24", "CTM / CVM_V"
LINE "356", "1189", "0x4A5", "Network management", "37", "0x25", "RSC_VDA / SC_VDA"
LINE "357", "1190", "0x4A6", "Network management", "38", "0x26", "RSE"
LINE "358", "1191", "0x4A7", "Network management", "39", "0x27", "PGS"
LINE "359", "1193", "0x4A9", "Network management", "41", "0x29", "EHB3"
LINE "360", "1194", "0x4AA", "Network management", "42", "0x2A", "EMF"
LINE "361", "1200", "0x4B0", "Network management", "48", "0x30", "EPS"
LINE "362", "1201", "0x4B1", "Network management", "49", "0x31", "MMC"
LINE "363", "1206", "0x4B6", "Network management", "54", "0x36", "TEL_BPI / TEL_JAP / TEL_MULF"
LINE "364", "1207", "0x4B7", "Network management", "55", "0x37", "AMP_HIFI / AMP_TOP"
LINE "365", "1208", "0x4B8", "Network management", "56", "0x38", "EHC"
LINE "366", "1209", "0x4B9", "Network management", "57", "0x39", "VDM"
LINE "367", "1210", "0x4BA", "Network management", "58", "0x3A", "KHM"
LINE "368", "1211", "0x4BB", "Network management", "59", "0x3B", "JNAV"
LINE "369", "1212", "0x4BC", "Network management", "60", "0x3C", "CDC"
LINE "370", "1213", "0x4BD", "Network management", "61", "0x3D", "HUD"
LINE "371", "1216", "0x4C0", "Network management", "64", "0x40", "CAS"
LINE "372", "1217", "0x4C1", "Network management", "65", "0x41", "DWA"
LINE "373", "1220", "0x4C4", "Network management", "68", "0x44", "MDS"
LINE "374", "1221", "0x4C5", "Network management", "69", "0x45", "RLS"
LINE "375", "1224", "0x4C8", "Network management", "72", "0x48", "VSW"
LINE "376", "1227", "0x4CB", "Network management", "75", "0x4B", "VM"
LINE "377", "1232", "0x4D0", "Network management", "80", "0x50", "Emergency power siren"
LINE "378", "1235", "0x4D3", "Network management", "83", "0x53", "IBOC"
LINE "379", "1236", "0x4D4", "Network management", "84", "0x54", "SDARS"
LINE "380", "1237", "0x4D5", "Network management", "85", "0x55", "ISpeechBox"
LINE "381", "1238", "0x4D6", "Network management", "86", "0x56", "FZD"
LINE "382", "1239", "0x4D7", "Network management", "87", "0x57", "NVC"
LINE "383", "1243", "0x4DB", "Netzwerkmanagement", "91", "0x5B", "DAB"
LINE "384", "1244", "0x4DC", "Netzwerkmanagement", "92", "0x5C", "Behoerde"
LINE "385", "1246", "0x4DE", "Netzwerkmanagement", "94", "0x5E", "GWS"
LINE "386", "1247", "0x4DF", "Netzwerkmanagement", "95", "0x5F", "FLA"
LINE "387", "1250", "0x4E2", "Netzwerkmanagement", "98", "0x62", "CCC_GW/CHAMP_M_ASK2"
LINE "388", "1251", "0x4E3", "Netzwerkmanagement", "99", "0x63", "CCC_MM"
LINE "389", "1252", "0x4E4", "Netzwerkmanagement", "100", "0x64", "PDC"
LINE "390", "1255", "0x4E7", "Netzwerkmanagement", "103", "0x67", "ZBE"
LINE "391", "1259", "0x4EB", "Netzwerkmanagement", "107", "0x6B", "HKL"
LINE "392", "1261", "0x4ED", "Netzwerkmanagement", "109", "0x6D", "SM_FA"
LINE "393", "1262", "0x4EE", "Netzwerkmanagement", "110", "0x6E", "SM_BF"
LINE "394", "1265", "0x4F1", "Netzwerkmanagement", "113", "0x71", "AHM"
LINE "395", "1267", "0x4F3", "Netzwerkmanagement", "115", "0x73", "CID_C/CID_C_H"
LINE "396", "1268", "0x4F4", "Netzwerkmanagement", "116", "0x74", "CID_C_R"
LINE "397", "1269", "0x4F5", "Netzwerkmanagement", "117", "0x75", "CID_C_R_2"
LINE "398", "1271", "0x4F7", "Netzwerkmanagement", "119", "0x77", "RFK"
LINE "399", "1272", "0x4F8", "Netzwerkmanagement", "120", "0x78", "IHKA"
LINE "400", "1273", "0x4F9", "Netzwerkmanagement", "121", "0x79", "FKA"
LINE "401", "1277", "0x4FD", "Netzwerkmanagement", "125", "0x7D", "Diagnosetool_PT_CAN"
LINE "402", "1278", "0x4FE", "Netzwerkmanagement", "126", "0x7E", "Diagnosetool_K_CAN_System"
LINE "403", "1280", "0x500", "Datentransfer [1]", "255", "0xFF", "Sender unbekannt"
LINE "404", "1289", "0x509", "Netzwerkmanagement", "137", "0x89", "XE_HDLI_LH_ALC"
LINE "405", "1290", "0x50A", "Netzwerkmanagement", "138", "0x8A", "XE_HDLI_RH_ALC"
LINE "406", "1291", "0x50B", "Netzwerkmanagement", "139", "0x8B", "CNV"
LINE "407", "1317", "0x525", "Netzwerkmanagement", "165", "0xA5", "EDCS_VL"
LINE "408", "1318", "0x526", "Netzwerkmanagement", "166", "0xA6", "EDCS_VR"
LINE "409", "1319", "0x527", "Netzwerkmanagement", "167", "0xA7", "EDCS_HL"
LINE "410", "1320", "0x528", "Netzwerkmanagement", "168", "0xA8", "EDCS_HR"
LINE "411", "1393", "0x571", "Netzwerkmanagement", "241", "0xF1", "Diagnosedose/D_CAN_Tester"
LINE "412", "1408", "0x580", "Dienste", "0", "0x0", "JBBF"
LINE "413", "1409", "0x581", "Dienste", "1", "0x1", "ACSM/ACSM_ROSE"
LINE "414", "1410", "0x582", "Dienste", "2", "0x2", "SZL_LWS"
LINE "415", "1426", "0x592", "Dienste", "18", "0x12", "DDE1/DME1"
LINE "416", "1430", "0x596", "Dienste", "22", "0x16", "AFS"
LINE "417", "1431", "0x597", "Dienste", "23", "0x17", "EKP"
LINE "418", "1432", "0x598", "Dienste", "24", "0x18", "EGS_EL"
LINE "419", "1433", "0x599", "Dienste", "25", "0x19", "VGSG"
LINE "420", "1435", "0x59B", "Dienste", "27", "0x1B", "VVT1"
LINE "421", "1436", "0x59C", "Dienste", "28", "0x1C", "LDM"
LINE "422", "1438", "0x59E", "Dienste", "30", "0x1E", "VVT2"
LINE "423", "1440", "0x5A0", "Dienste", "32", "0x20", "RDC"
LINE "424", "1441", "0x5A1", "Dienste", "33", "0x21", "ACC_Sensor"
LINE "425", "1443", "0x5A3", "Dienste", "35", "0x23", "ARS_Modul"
LINE "426", "1444", "0x5A4", "Dienste", "36", "0x24", "CTM/CVM_V"
LINE "427", "1445", "0x5A5", "Dienste", "37", "0x25", "RSC_VDA/SC_VDA"
LINE "428", "1446", "0x5A6", "Dienste", "38", "0x26", "RSE"
LINE "429", "1447", "0x5A7", "Dienste", "39", "0x27", "PGS"
LINE "430", "1449", "0x5A9", "Dienste", "41", "0x29", "EHB3"
LINE "431", "1450", "0x5AA", "Dienste", "42", "0x2A", "EMF"
LINE "432", "1456", "0x5B0", "Dienste", "48", "0x30", "EPS"
LINE "433", "1457", "0x5B1", "Dienste", "49", "0x31", "MMC"
LINE "434", "1462", "0x5B6", "Dienste", "54", "0x36", "TEL_BPI/TEL_JAP/TEL_MULF"
LINE "435", "1463", "0x5B7", "Dienste", "55", "0x37", "AMP_HIFI/AMP_TOP"
LINE "436", "1464", "0x5B8", "Dienste", "56", "0x38", "EHC"
LINE "437", "1465", "0x5B9", "Dienste", "57", "0x39", "VDM"
LINE "438", "1466", "0x5BA", "Dienste", "58", "0x3A", "KHM"
LINE "439", "1467", "0x5BB", "Dienste", "59", "0x3B", "JNAV"
LINE "440", "1468", "0x5BC", "Dienste", "60", "0x3C", "CDC"
LINE "441", "1469", "0x5BD", "Dienste", "61", "0x3D", "HUD"
LINE "442", "1472", "0x5C0", "Dienste", "64", "0x40", "CAS"
LINE "443", "1473", "0x5C1", "Dienste", "65", "0x41", "DWA"
LINE "444", "1476", "0x5C4", "Dienste", "68", "0x44", "MDS"
LINE "445", "1477", "0x5C5", "Dienste", "69", "0x45", "RLS"
LINE "446", "1480", "0x5C8", "Dienste", "72", "0x48", "VSW"
LINE "447", "1483", "0x5CB", "Dienste", "75", "0x4B", "VM"
LINE "448", "1488", "0x5D0", "Dienste", "80", "0x50", "Notstrom-Sirene"
LINE "449", "1491", "0x5D3", "Dienste", "83", "0x53", "IBOC"
LINE "450", "1492", "0x5D4", "Dienste", "84", "0x54", "SDARS"
LINE "451", "1493", "0x5D5", "Dienste", "85", "0x55", "ISpeechBox"
LINE "452", "1494", "0x5D6", "Dienste", "86", "0x56", "FZD"
LINE "453", "1495", "0x5D7", "Dienste", "87", "0x57", "NVC"
LINE "454", "1499", "0x5DB", "Dienste", "91", "0x5B", "DAB"
LINE "455", "1500", "0x5DC", "Dienste", "92", "0x5C", "Behoerde"
LINE "456", "1502", "0x5DE", "Dienste", "94", "0x5E", "GWS"
LINE "457", "1503", "0x5DF", "Dienste", "95", "0x5F", "FLA"
LINE "458", "1504", "0x5E0", "Dienste", "96", "0x60", "Kombi"
LINE "459", "1506", "0x5E2", "Dienste", "98", "0x62", "CCC_GW/CHAMP_M_ASK2"
LINE "460", "1507", "0x5E3", "Dienste", "99", "0x63", "CCC_MM"
LINE "461", "1508", "0x5E4", "Dienste", "100", "0x64", "PDC"
LINE "462", "1511", "0x5E7", "Dienste", "103", "0x67", "ZBE"
LINE "463", "1515", "0x5EB", "Dienste", "107", "0x6B", "HKL"
LINE "464", "1517", "0x5ED", "Dienste", "109", "0x6D", "SM_FA"
LINE "465", "1518", "0x5EE", "Dienste", "110", "0x6E", "SM_BF"
LINE "466", "1521", "0x5F1", "Dienste", "113", "0x71", "AHM"
LINE "467", "1522", "0x5F2", "Dienste", "114", "0x72", "FRMFA/FRMFA_ALC"
LINE "468", "1523", "0x5F3", "Dienste", "115", "0x73", "CID_C/CID_C_H"
LINE "469", "1524", "0x5F4", "Dienste", "116", "0x74", "CID_C_R"
LINE "470", "1525", "0x5F5", "Dienste", "117", "0x75", "CID_C_R_2"
LINE "471", "1527", "0x5F7", "Dienste", "119", "0x77", "RFK"
LINE "472", "1528", "0x5F8", "Dienste", "120", "0x78", "IHKA"
LINE "473", "1529", "0x5F9", "Dienste", "121", "0x79", "FKA"
LINE "474", "1533", "0x5FD", "Dienste", "125", "0x7D", "Diagnosetool_PT_CAN"
LINE "475", "1534", "0x5FE", "Dienste", "126", "0x7E", "Diagnosetool_K_CAN_System"
LINE "476", "1545", "0x609", "Dienste", "137", "0x89", "XE_HDLI_LH_ALC"
LINE "477", "1546", "0x60A", "Dienste", "138", "0x8A", "XE_HDLI_RH_ALC"
LINE "478", "1547", "0x60B", "Dienste", "139", "0x8B", "CNV"
LINE "479", "1573", "0x625", "Dienste", "165", "0xA5", "EDCS_VL"
LINE "480", "1574", "0x626", "Dienste", "166", "0xA6", "EDCS_VR"
LINE "481", "1575", "0x627", "Dienste", "167", "0xA7", "EDCS_HL"
LINE "482", "1576", "0x628", "Dienste", "168", "0xA8", "EDCS_HR"
LINE "483", "1649", "0x671", "Dienste", "241", "0xF1", "Diagnosedose/D_CAN_Tester"
LINE "484", "1984", "0x7C0", "CAS Programmierung Bandende 1 [3]", "64", "0x40", "CAS"
LINE "485", "1985", "0x7C1", "CAS Steuerung 1 [5]", "64", "0x40", "CAS"
LINE "486", "1986", "0x7C2", "CAS Applikationsnachricht 1 [3]", "64", "0x40", "CAS"
LINE "487", "1987", "0x7C3", "CAS Steuerung 1 [5]", "64", "0x40", "CAS"
